name	alternative-name	funding-programme	area	region	discipline	funded-2012-15	funding-2012-13	funding-2013-14	funding-2014-15	funding-total	grant-2015-16	grant-2016-17	grant-2107-18	grant-total	funding-source	cash-change-2014-15--2015-16	cash-change-2012-15--2015-18	real-change-2014-15--2015-16	real-change-2012-15--2015-18	notes	local-authority-name	website
20 Stories High	n/a	NPO	North	North West	Theatre	Yes	131e3	128276.379	162905.48173200001	422181.86073200003	162905	162905	162905	488715	GIA	-2.9571257817293981E-6	0.15759355258096946	-1.38096224120137E-2	0.10390263389512751		Liverpool	www.20storieshigh.org.uk
20-21 Visual Arts Centre	North Lincolnshire Council	NPO	North	Yorkshire	Visual arts	Yes	78e3	76378.302	74744.86808880001	229123.17008880002	74745	74745	74745	224235	GIA	1.7648194901393526E-6	-2.1334246060341861E-2	-1.3804965661252293E-2	-6.8467359819421272E-2		North Lincolnshire	www.northlincs.gov.uk/20-21
2Faced Dance Company Limited	n/a	NPO	Midlands	West Midlands	Dance	Yes	95e3	95164.42666499999	95550.77290859519	285715.1995735952	192e3	192e3	192e3	576e3	LOT	1.0094028981185645	1.0159935518293368	0.98165966283882078	0.91954890452467308		Herefordshire, County of	www.2faceddance.co.uk
A New Direction	A New Direction London Limited	NPO (Bridge)	London	London	Combined arts	Yes	11e5	1125300	1106375.453985497	3331675.453985497	1506375	1506375	1506375	4519125	LOT	0.36154051011669186	0.35641213029739244	0.34274212043066254	0.29152332480771331	Technical uplift - The organisation has been given all the Bridge monies for London, to distribute, instead of having associate bridges	Hackney	www.anewdirection.org.uk
Abandon Normal Devices Ltd.	AND Festival; AND	NPO	North	North West	Combined arts	No	0	0	0	0	135e3	135e3	135e3	405e3	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Manchester	www.andfestival.org.uk
Academy for Contemporary Circus and Physical Theatre t/a Circomedia	n/a	NPO	South West	South West	Theatre	Yes	105938	106121.775375	106551.6842632032	318611.4596382032	106552	106552	106552	319656	GIA	2.9632267099062986E-6	3.278414288622627E-3	-1.3803783800088929E-2	-4.4718215130738155E-2		South Gloucestershire	www.circomedia.com
Acta Community Theatre Ltd	acta (access, creativity, theatre, arts)	NPO	South West	South West	Theatre	No	0	0	0	0	8e4	8e4	8e4	24e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Bristol, City of	www.acta-bristol.com
Action Space London Events Ltd	n/a	NPO	London	London	Visual arts	Yes	45154	45232.601337	45416.13177180241	135802.7331088024	73416	73416	73416	220248	GIA	0.61651812111356252	0.62182302931666145	0.59419933048674778	0.54423548779759723		Camden	www.actionspace.org
Action Transport Theatre Company	ATT	NPO	North	North West	Theatre	Yes	12e4	120207.69683999999	120695.71314769919	360903.4099876992	120696	120696	120696	362088	GIA	2.3766569112221718E-6	3.282290993984215E-3	-1.3804362271290732E-2	-4.4714492832098773E-2		Cheshire West and Chester	www.actiontransporttheatre.org
Activate Performing Arts	Activate	NPO	South West	South West	Combined arts	Yes	337703	211186.00503	331895.96234046	880784.96737046	251422	251422	251422	754266	GIA	-0.24246743399038259	-0.14364342269393648	-0.25292646350136355	-0.18478168719203927		West Dorset	www.activateperformingarts.org.uk
